blockNumber,data
14612237,87845.31174
14612242,197832.402481553
14612242,197894.26061615619
14612242,365234.0570570752
14612242,760960.7201547844
14612242,760960.7201547844
14612242,760959.5301169303
14612242,2696.4
14612247,43.40332582
14612248,7992.0
14612249,15.55555556
14612250,73207.1213506675
14612250,150000.0
14612251,9971.084
14612252,7992.0
14612253,62356.43151173919
14612262,8526.99036297926
14612262,8526.99036297926
14612262,2001.93271
14612264,270.83689235836556
14612264,270.83689235836556
14612266,70552.27269301125
14612266,23506.783448201277
14612267,66331.352888
14612271,109.39240002975048
14612273,9930.500339258158
14612273,21815.08324489
14612274,94059.056142
14612274,150923.65181780333
14612277,9.0
14612279,430.624664840814
14612279,430.624664840814
14612284,19924.462694774764
14612284,34857.67223852565
14612290,303.4118593969952
14612290,303.4118593969952
14612291,19924.462694
14612291,34857.672239
14612293,47.628968
14612294,5.0
14612301,3500.0
14612303,430.624664
14612306,992.2
14612308,265.83689235836556
14612311,21815.083245
14612323,2007.8033545724695
14612324,100.0
14612327,100.0
14612339,10.0
14612339,992.2
14612340,199800.0
14612342,470331.63879674097
14612342,470301.03475260094
14612342,615.5208652609177
14612346,100.0
14612347,497.2592950715543
14612347,4.351018828118714
14612347,492.9082762434356
14612349,27150.0
14612350,199800.0
14612361,4840.802723627247
14612361,4840.802723627247
14612362,484.697658
14612366,31.153565
14612367,10.010952
14612369,994.0
14612371,9931.774080821046
14612372,865.66718719
14612392,1347.672653903903
14612404,100.0
14612422,2.0
14612423,4985.045
14612425,9935.52803636648
14612427,99.0
14612443,10.0
14612447,10.321528
14612452,199800.0
14612466,100.0
14612468,2439.9384965339145
14612472,100.0
14612472,1989.0
14612472,30645.0
14612472,40.0
14612488,315.90242599114174
14612488,2.7641462274224904
14612488,313.13827976371925
14612488,199799.0
14612493,4981.188702802383
14612497,2447.938496
14612497,199799.0
14612498,850.42009704
14612500,100.0
14612507,1969.1497061155715
14612508,398689.58467276726
14612513,130.32073149
14612516,1992.882659
14612520,398689.584673
14612527,24917.47
14612531,1969.1497061155715
14612531,130.32073149
14612533,1457.0
14612541,21191.13
14612541,20.0
14612542,6939.109320748549
14612543,1992.882659
14612545,6932.17021
14612551,9.0
14612552,99598.22
14612552,230.0
14612555,21201.13
14612556,2061.60708669
14612559,99598.22
14612565,8707.12427697002
14612565,6721.684446249176
14612574,4961.0
14612579,20.0
14612580,1000.0
14612584,997.888038
14612597,91.0
14612598,740.5948158042419
14612598,740.5948158042419
14612599,494.0
14612602,337.23453022
14612607,198200.0
14612613,198200.0
14612618,72.63253519999911
14612618,72.63253519999911
14612621,11954.59720659233
14612626,3582.122733553433
14612632,11955.403350401202
14612632,997.888038
14612632,79.108027
14612635,3582.122733
14612636,681.38768574
14612639,999.0
14612652,410.578455
14612656,502897.639836
14612657,999.0
14612660,200100.0
14612665,200100.0
14612668,502897.639836
14612669,999.0
14612671,2520.0
14612673,498750.0
14612684,10.0
14612686,12349.466746604232
14612692,7235.365316
14612693,27150.0
14612695,7129.77
14612699,8707.12427769
14612706,10.0
14612714,1352.48543324
14612736,1352.48543324
14612742,506.8673273922854
14612749,47814.63823705638
14612752,418.0
14612758,56.67533513
14612759,9.0
14612759,9.0
14612759,9.0
14612759,9.0
14612766,1274.5819726177958
14612766,11.152592256730415
14612766,1263.4293803610656
14612770,418.0
14612788,19993.3
14612791,1507.0
14612810,41555.088611847146
14612818,19993.3
14612821,99141.64058922736
14612821,99141.64058922736
14612821,99141.64058922736
14612829,99924.122048
14612851,81970.0
14612861,1347.24994037
14612864,81970.0
14612874,102372.50388871068
14612889,4.960396
14612892,2429.890095362037
14612892,744.2110206
14612895,26606.816604
14612909,99.65122073
14612911,1347.24994
14612911,506.867327
14612913,2713.2711556175227
14612913,2713.2711556175227
14612926,2713.271155
14612932,13071.75581731184
14612939,66469.3639926488
14612941,30645.0
14612941,726.819541
14612941,9782.522343
14612942,1.0
14612946,1928.0
14612946,603.130115
14612946,2144.13980334
14612956,3090.91
14612971,4994.0
14612981,8238.1
14612983,993.64416452
14612995,1018.62221596
14612996,1978.26233516
14612996,5140.94763127
14612996,1844.49
14612999,305.70084879
14612999,624.287272
14612999,136424.53
14612999,3000.999
14613000,536.43
14613000,24939.66
14613006,100.0
14613007,17.51948357
14613008,9.0
14613009,629.9316733230572
14613009,629.9316733230572
14613010,4966.01
14613010,3863.0
14613010,24892.88
14613013,996.5122072745392
14613019,56052.89877895308
14613021,7972.09765819
14613022,917.21733829
14613022,1956.504468
14613022,2300.0
14613022,940.39305702
14613022,14199.0
14613022,2620.0
14613022,3185.531
14613024,9994.350793
14613028,99.0
14613028,996.5122072745392
14613029,16990.0
14613031,66369.363992
14613034,15.0
14613038,605.36
14613045,3551.73
14613046,270.83689235836556
14613048,10.0
14613049,14000.0
14613051,278.67508341920984
14613055,2007.7664143
14613055,2012.882659
14613063,925.0
14613069,13799.929906
14613069,205.90824156611706
14613070,15289.999090057992
14613082,100.0
14613090,225.0
14613090,278.675083
14613091,1337.733886043907
14613099,4979.208371370137
14613107,13802.929906
14613111,225.0
14613116,1769.322460209488
14613125,13902.929906
14613127,15.0
14613146,4979.208372
14613154,9929.254689734948
14613155,4.0
14613178,10000.0
14613183,2808.2690306414456
14613184,117485.45185
14613187,662.55107125
14613188,1500.0
14613195,2808.0
14613207,1337.733886043907
14613208,15289.676103
14613212,0.0019198594519875
14613220,17982.0
14613234,17.11012597
14613235,1.0
14613240,17981.00000058456
14613241,200.0
14613245,268.0
14613248,9.0
14613261,27540.961835353428
14613262,9971.084
14613262,17289.57
14613262,268.0
14613262,1263.4293809310655
14613263,9946.29302364177
14613267,24917.47
14613272,10.0
14613281,40992.363268433255
14613281,59.81012481075534
14613281,3700.0
14613298,27540.961835353428
14613299,19.0
14613303,59.81012481075534
14613304,30042.26664241298
14613304,30042.26664241298
14613304,30042.26664241298
14613304,30042.26664241298
14613308,47.0
14613314,10.0
14613314,19.0
14613322,50.0
14613323,47.0
14613328,19597.255897094994
14613334,1.0
14613334,9940.85
14613338,19.0
14613344,50.85017434841531
14613344,0.44493902554863396
14613344,50.40523532286667
14613344,100.0
14613350,37879.38696
14613354,6366.873257548894
14613356,6360.506383
14613365,50.0
14613381,37879.38696
14613384,1567.0098753165482
14613385,100.0
14613387,19923.286813785886
14613401,41.37564028
14613419,41.37564028
14613420,49.0
14613423,62156.629041
14613431,49853.898349
14613432,599.0
14613435,846.404785
14613438,9025.050120854074
14613438,9025.050120854074
14613438,5.0
14613444,124.28635113877917
14613447,49897.898349988434
14613447,856.404785
14613448,599.0
14613452,100751.8127460619
14613454,100751.8127460619
14613459,100.0
14613484,10.0
14613491,19823.286814
14613493,3480.00000074
14613500,3480.00000074
14613504,499.0
14613508,3877.961068
14613515,10964.083646719366
14613520,499.0
14613522,4014.225693848959
14613534,946.51
14613541,10000.0
14613553,946.51
14613560,10000.0
14613582,2900.0
14613582,2900.0
14613584,1000.0
14613585,72.7
14613595,151.47171168
14613597,249850.0
14613598,34389.0
14613611,10964.08364728558
14613627,494.34969062119563
14613627,490.0241308282602
14613627,4.3255597929354614
14613629,190.0
14613633,14432.28
14613641,49818.592924489276
14613641,49818.592924489276
14613641,49818.592924489276
14613641,49818.592924489276
14613641,49818.592924489276
14613641,284239.0
14613643,17289.57
14613648,4000.0
14613655,2470.0
14613665,190.0
14613670,255.57060456611705
14613672,1492.811994
14613710,146.84
14613712,298.75552471344974
14613716,2253.591853602388
14613716,2253.591853602388
14613716,543.34768
14613723,48964.64462837294
14613727,529.28280966
14613735,3465.0
14613752,298.7555250777767
14613765,87.07
14613771,89.68609865
14613788,1001.302428
14613795,92.76099909
14613799,1001.302428
14613799,1001.302428
14613804,92.760999
14613808,996.4916978254992
14613822,55381.138815500584
14613822,55381.138815500584
14613826,3465.0
14613827,1089.0
14613831,996.4916978254992
14613838,15948.29
14613838,3475.2409574931658
14613843,3475.2409574931658
14613850,3475.2409574931658
14613859,1000.0
14613866,49.0
14613889,146.47843866
14613889,2808.0
14613889,9950.85
14613889,221.05668419
14613895,31.0
14613920,89.68609865
14613931,47000.0
14613939,89.68609865
14613939,47000.0
14613950,1.3357121581671256
14613953,1499.06286452
14613960,5792.74707149
14613960,242.566055
14613966,30.0
14613966,29.7375
14613966,0.2625
14613980,1000.0
14613980,991.25
14613980,8.75
14613999,57048.89352469
14614007,146.84
14614012,45324.42653619237
14614023,28856.250583507597
14614023,28603.758390901905
14614023,252.49219260569149
14614026,146.84
14614031,599.0
14614036,44684.98883798089
14614037,25000.0
14614037,25000.0
14614041,5.9
14614042,1000.0
14614042,1000.0
14614045,10.0
14614047,44995.648155677976
14614051,599.0
14614058,4983.61784183795
14614058,2494.6030030486345
14614058,2489.0148387893155
14614066,1.0
14614067,7123.3210061824475
14614067,1000.0
14614070,7116.197684
14614070,118.65571695839556
14614071,8598.036387006941
14614072,10487.02274487219
14614074,10000.0
14614074,10000.0
14614080,1000.0
14614082,15004.81903472801
14614086,9992.372511780177
14614094,44.250889479399525
14614094,44.250889479399525
14614096,1.80225266
14614100,10723.0
14614102,10.0
14614105,2050.276320171575
14614105,17.942934518206197
14614105,2032.3333856533689
14614130,8063.928
14614145,10477.022744
14614147,899.0
14614149,13525.707266651683
14614158,919.5961088242684
14614159,999.0
14614170,13525.707266
14614171,19980.0
14614180,49040.91
14614199,45472.686441981015
14614201,9.0
14614201,70918.0
14614212,689.78
14614214,1089.0
14614220,1499.06286452
14614229,23978.699581
14614234,4624.35
14614247,15958.29
14614248,15004.81903472801
14614258,1110.897
14614292,6877.558527
14614292,6916.136306565079
14614294,23987.699581
14614296,309.0
14614300,21060.572495898392
14614319,8063.928
14614325,10000.0
14614336,10000.0
14614338,8063.928
14614342,769.9997379067131
14614358,10733.0
14614360,15342515.0
14614362,20867.27811840221
14614362,20867.27811840221
14614363,2180.392267217091
14614367,149.0
14614369,12018.341386
14614374,10036.982104666758
14614374,10036.982104666758
14614375,1192.973643180634
14614375,2564.8755213496925
14614377,12049.626590382399
14614379,17541.53467802253
14614379,17541.53467802253
14614386,925.7721587889959
14614387,9969.096
14614391,12129.801376088119
14614398,21060.572495898392
14614398,21060.572495898392
14614400,105.0
14614400,105.0
14614401,4999.995
14614411,4999.995
14614424,73158.08979259738
14614424,73158.08979259738
14614424,16166.33094
14614433,248973.99137032
14614438,10.0
14614438,919.1445441562987
14614439,4624.35
14614446,5.0
14614457,424.66138972
14614463,424.66138972
14614467,1789.744441
14614467,248968.99137
14614476,7503.14055
14614476,7548.933743284254
14614496,1789.744441
14614501,94.82973983007808
14614512,1976.0141839530565
14614513,777000.0
14614524,8767.738521
14614524,8829.039665530958
14614526,6977.671
14614529,94.81342857439935
14614537,24761.102209160897
14614537,24761.102209160897
14614537,14194.66829
14614544,4000.0
14614552,5485.633503716726
14614557,47.00969861
14614557,1000.0
14614565,3000.0
14614568,20079.9
14614573,1000.0
14614587,9990.0
14614590,20079.9
14614592,105.495352
14614605,777000.0
14614642,119627.0924040099
14614642,119627.0924040099
14614672,42000.0
14614680,21928.224564550568
14614682,9990.0
14614706,5460.238734370197
14614706,5460.238734370197
14614710,42000.0
14614710,42000.0
14614712,2063.4475020041036
14614717,50000.0
14614718,9966.435687814477
14614718,9966.435687814477
14614719,1892.265736
14614723,94.47240456240222
14614725,1021.62359728
14614733,210.624946
14614733,50.0
14614736,94.47366901228324
14614740,12487.5
14614740,94.82754347866148
14614755,5517.8350483659
14614755,5517.8350483659
14614755,50000.0
14614770,46861.76898735346
14614770,46861.76898735346
14614770,11176.76893
14614770,21878.224565
14614776,90.0
14614776,130614.0
14614776,10721.65
14614779,2492.97
14614781,609.2375930592119
14614797,74.5
14614799,9966.435687
14614803,25779.85819548
14614840,94.5371891776525
14614869,72917.0
14614890,12487.5
14614890,1892.265736
14614890,10721.65
14614896,25869.85819548
14614904,1989.9279893835403
14614914,3325.808665376707
14614928,997400.4348783676
14614936,1.0
14614937,10628.550605705634
14614937,10628.550605705634
14614939,17.110125
14614940,997399.4348783676
14614944,1079.8292969044837
14614944,1079.8292969044837
14614944,323.9487890713451
14614944,325.912043707046
14614944,649.8608327783911
14614945,3325.808665
14614951,130614.0
14614951,2492.97
14614957,6004.0
14614974,7120.220113
14614977,567.9539746354768
14614977,1021.62359728
14614977,210.624946
14614990,190702.0
14614995,100.0
14615006,190702.0
14615025,1000.0
14615034,500.0
14615053,2500.0
14615075,832.4770577342296
14615075,825.1928834790551
14615075,7.284174255174509
14615075,2600.0
14615088,39998.973865676104
14615090,6979.063
14615099,2700.0
14615106,33910.49641670499
14615113,100.0
14615118,2886.006523
14615128,732.1001911182409
14615128,6.405876666784276
14615128,725.6943144514565
14615133,1570.0
14615137,39898.973865
14615139,72917.0
14615154,1100.0
14615155,1098.8086866598715
14615157,4828.5
14615162,499.0
14615177,504.0
14615182,499.0
14615201,33910.49641670499
14615208,255.01743432087434
14615211,4.0
14615211,1570.0
14615211,5721.25324
14615227,418581.0
14615236,133449.85128694045
14615237,249.6734165563936
14615240,75000.0
14615252,418581.0
14615252,32.56833956
14615260,5650.0
14615261,1800.198
14615264,19093.0
14615266,5650.0
14615268,4983.058
14615268,4828.5
14615269,2304.198
14615269,7452.693174
14615269,1408.59
14615269,0.19450774
14615270,19061.161282836256
14615270,996.1394956222452
14615271,33910.49641670499
14615277,101276.8210183316
14615278,1998.38369655
14615279,58449.851287
14615297,249.6734165563936
14615313,9968.102
14615325,10.0
14615334,1408.59
14615341,886201.3004917421
14615341,886201.3004899883
14615343,5650.0
14615345,29.895366218236173
14615346,5617.67610366
14615349,100.0
14615350,5650.0
14615355,5617.67610366
14615360,614.0
14615363,29.895366218236173
14615372,7500.0
14615374,12300.519698
14615385,13895.1838
14615391,7500.0
14615392,1998.383696
14615394,607.62400718
14615425,14194.670842156358
14615434,8784.207
14615445,56.65135123
14615447,53.65411988
14615449,8784.207
14615450,14240.853547
14615450,14362.14364490432
14615453,9942.97610648958
14615453,9942.97610648958
14615462,500.0
14615467,90.0
14615470,607.6240081258939
14615470,602.3072980547923
14615470,5.316710071101571
14615472,196.60240861639315
14615472,196.60240861639315
14615472,100205.16936376927
14615472,100205.16936376927
14615472,100205.16936376927
14615472,100205.16936376927
14615472,100205.16936376927
14615480,500.0
14615480,53.65412
14615490,67131.0
14615493,190695.0
14615496,0.3693
14615496,36.5607
14615496,36.5607
14615500,190695.0
14615509,146.47843866
14615511,7452.693174
14615515,498.54206415
14615518,6978.367
14615520,146.47843866
14615523,71224.638794
14615528,100.0
14615536,2137.0362851792356
14615551,495.89
14615555,1078.92
14615557,1078.0
14615561,2137.036285
14615566,25003.591282390444
14615566,25003.591282390444
14615566,25003.591282390444
14615568,25003.591282390444
14615573,8716.58927338488
14615573,8716.58927338488
14615573,8716.58927338488
14615573,8716.58927338488
14615573,8716.58927338488
14615573,7720.248457063714
14615573,7720.248457063714
14615573,7720.248457063714
14615573,7720.248457063714
14615573,7720.248457063714
14615573,5165.935981358302
14615573,5165.935981358302
14615573,5165.935981358302
14615573,5165.935981358302
14615573,5165.935981358302
14615581,1.0000005944315604
14615583,250000.0
14615584,67221.0
14615586,250000.0
14615588,14650.0
14615592,500000.0
14615594,150000.0
14615606,100.0
14615614,1.0000005944315604
14615624,7689.27
14615642,487.14640415
14615645,14650.0
14615648,214.0
14615651,5733.521819809683
14615651,5733.521819809683
14615651,5733.521819809683
14615651,10.41396509
14615680,54.0
14615680,3043.008308642681
14615686,7689.27
14615691,499.0
14615691,9990.0
14615693,3043.008308642681
14615694,54.0
14615705,9990.0
14615708,9962.72
14615713,20000.0
14615728,3737.434437
14615731,14957.057305364458
14615737,5733.521819809683
14615737,5733.521819809683
14615739,89.35
14615745,13492.607996519853
14615753,487.146404
14615757,11416.21044116405
14615757,499.0
14615762,6979.063
14615763,11338.109036288683
14615770,9962.720000847801
14615775,6057.08685
14615775,214284.70216654922
14615775,214284.70216654922
14615775,214284.70216654922
14615775,214284.70216654922
14615775,214284.70216654922
14615780,990.26
14615780,981.595225
14615780,8.664775
14615780,20000.0
14615783,9962.720000847801
14615787,6057.08685
14615791,1000.998
14615792,999.0
14615793,6979.063
14615793,90273.0
14615795,10628.550605
14615800,13886.1
14615800,100.0
14615803,12300.519698
14615805,8511.891767142224
14615805,149990.0
14615805,1000.998
14615807,14885.100000010918
14615808,7538.859682542932
14615815,19.0
14615837,8333.658097
14615843,8789.709185696374
14615852,9808.15928215
14615860,502918.696141
14615866,2818.7053530202234
14615866,2818.7053530202234
14615870,9969.096
14615872,502918.696141
14615875,1707.608695
14615876,240000.0
14615880,999.376811
14615880,15373.322775546574
14615881,498750.0
14615882,40949.93
14615884,170345.0
14615894,14500.0
14615894,92.811994
14615897,1723.088985181893
14615898,45.0
14615908,9000.0
14615908,99.0
14615911,997.5062344139651
14615919,90273.0
14615922,1400.0
14615924,9966.115
14615928,99.0
14615928,997.5062344139651
14615928,42.32752703
14615929,1876.3942163435702
14615929,1876.3942163435702
14615931,4974.851236294359
14615931,4974.851236294359
14615931,4975.043095155611
14615932,279952.42376558605
14615933,10.0
14615936,4200.795
14615942,279952.42376558605
14615951,4200.795
14615954,170345.0
14615954,214.0
14615954,9897.50928215
14615954,10760.483513
14615954,999.376811
14615960,9966.115
